rank,asc,slots,risk,gross,n,cagr,dd,dd_intraday,final_x,wiped
dist_hh60,False,20,0.2,1.0,1109,0.05898479639193921,-0.3486109576347042,-0.34128040283862426,2.3042413197616134,False
dist_hh60,False,20,0.2,2.0,1115,0.089911839524772,-0.6640550240601301,-0.657974940115237,3.50444299798235,False
dist_hh60,False,20,0.2,4.0,1130,0.06945253279532637,-0.926335156636418,-0.9260610735056818,2.6591823565769865,False
dist_hh60,False,20,0.2,6.0,571,-1.0,-1.0,-1.0,0.0,True
dist_hh60,False,20,0.2,8.0,484,-1.0,-1.0,-1.0,0.0,True
dist_hh60,False,20,0.2,12.0,164,-1.0,-1.0,-1.0033625026604889,0.0,True
dist_hh60,False,20,0.2,16.0,147,-1.0,-1.0,-1.0008087137288593,0.0,True
dist_hh60,False,20,0.2,24.0,32,-1.0,-1.0,-1.0875335613743973,0.0,True
dist_hh60,True,10,0.2,1.0,485,0.07032628584277867,-0.3976685784596965,-0.39559611261809446,2.691002705291959,False
dist_hh60,True,10,0.2,2.0,479,-0.02322980263045127,-0.797611433923824,-0.8025172319334899,0.7101050007562208,False
dist_hh60,True,10,0.2,4.0,465,-0.18959981854150432,-0.9963035555361444,-0.9964460451872768,0.04679238864159812,True
dist_hh60,True,10,0.2,6.0,115,-1.0,-1.0,-1.0,0.0,True
dist_hh60,True,10,0.2,8.0,101,-1.0,-1.0,-1.0,0.0,True
dist_hh60,True,10,0.2,12.0,101,-1.0,-1.0,-1.0098899380812492,0.0,True
dist_hh60,True,10,0.2,16.0,62,-1.0,-1.0,-1.0,0.0,True
dist_hh60,True,10,0.2,24.0,38,-1.0,-1.0,-1.0,0.0,True
dist_hh60,True,20,0.2,1.0,1007,0.05857211131943307,-0.31773565100975076,-0.3245705152839191,2.2911967178238117,False
dist_hh60,True,20,0.2,2.0,994,0.06802789331391668,-0.6346831586129129,-0.6294997457783743,2.6080503116873817,False
dist_hh60,True,20,0.2,4.0,967,-0.07432501335618447,-0.9687720360197319,-0.9697348141706373,0.324680484237275,False
dist_hh60,True,20,0.2,6.0,491,-1.0,-1.0,-1.0000136332792782,0.0,True
dist_hh60,True,20,0.2,8.0,401,-1.0,-1.0,-1.0072722108171004,0.0,True
dist_hh60,True,20,0.2,12.0,124,-1.0,-1.0,-1.0000542751463384,0.0,True
dist_hh60,True,20,0.2,16.0,117,-1.0,-1.0,-1.0,0.0,True
dist_hh60,True,20,0.2,24.0,119,-1.0,-1.0,-1.204582624551032,0.0,True
