trail,stop,buf,positions,raw,train_n,train_win,train_avg,train_cagr,train_mdd,train_multiple,validation_n,validation_win,validation_avg,validation_cagr,validation_mdd,validation_multiple,holdout_n,holdout_win,holdout_avg,holdout_cagr,holdout_mdd,holdout_multiple
20,40,1.0,1,134,22,0.4090909090909091,0.012419000661736602,0.05329256178462649,-0.1559681462236907,1.269022363770376,6,0.3333333333333333,0.02933968815515973,0.10219239373451527,-0.12671655792733805,1.1618123627916952,6,0.16666666666666666,-0.03668148837354349,-0.19807489360618324,-0.16419392295714053,0.7972137012043542
20,40,0.25,2,211,51,0.43137254901960786,0.005145326353168031,0.021197569661925764,-0.13653085204105175,1.103441245301926,18,0.2777777777777778,0.019166350590592494,0.06744405841210899,-0.15116922731777827,1.1623667405451126,12,0.16666666666666666,-0.03952043504092334,-0.20945545233810514,-0.1958340791642259,0.7856002066672346
20,20,1.0,1,387,32,0.4375,0.015807507890623892,0.09085704243684911,-0.1492745191706889,1.4904003418540748,12,0.3333333333333333,0.031491304577968886,0.1972006655801053,-0.14658234849905072,1.345345051405564,12,0.16666666666666666,-0.02560748021623882,-0.2154606065663608,-0.3009888313929515,0.7168807743192445
10,40,0.25,2,211,59,0.4576271186440678,0.004178405503674407,0.02144582602478806,-0.15474721062162256,1.1047006211325476,21,0.5714285714285714,-0.002367285797665885,-0.012579297240942533,-0.05151831528375683,0.9715084160489029,13,0.15384615384615385,-0.03769680602287513,-0.21547851043639,-0.20885238109467608,0.7794556711077729
10,20,0.5,2,451,85,0.4235294117647059,0.007539624041131056,0.060529473190552574,-0.1812305732090378,1.3175586833769528,38,0.5,0.001804615282574327,0.009912234062495306,-0.106781322641601,1.0229983490198258,26,0.23076923076923078,-0.02654875145400095,-0.21617111057506466,-0.28857948693182567,0.7018091191488843
10,40,1.0,1,134,26,0.5384615384615384,0.012636901227871845,0.06695866620905866,-0.16105591791868012,1.346353559706153,7,0.7142857142857143,0.0073852396642611106,0.03264775566273603,-0.054026240064436126,1.0500270242112133,7,0.14285714285714285,-0.03602920828328877,-0.22332730486798524,-0.20505334932013597,0.771450467364676
10,10,0.25,2,720,104,0.3942307692307692,0.0009893079538826717,-0.002550476289234327,-0.24788510168404998,0.9880876720569555,52,0.4230769230769231,0.0007440763382906877,-0.0031547631719226477,-0.16308238908662398,0.9916265562570107,31,0.2903225806451613,-0.022896844868168093,-0.2241637030452288,-0.30123139412807753,0.6914294895613928
10,20,1.0,2,387,77,0.42857142857142855,0.007464586885860208,0.056362629316691226,-0.17072592139169118,1.2860840947944925,32,0.53125,0.010592921356543588,0.10383112356541058,-0.07090185833279561,1.1742804811839276,25,0.2,-0.02841820436316624,-0.23323036531042485,-0.29487649066380806,0.6947028658747455
20,40,0.25,1,211,26,0.5,0.0072546103581573405,0.02441825640749462,-0.16067463131307091,1.1198674498691896,12,0.25,0.02129946715714659,0.08668414573610694,-0.14535378306979108,1.2112336809060475,7,0.14285714285714285,-0.03886476696551674,-0.23880688855753374,-0.20775001790607084,0.7556687584024315
10,10,0.5,2,685,99,0.41414141414141414,0.0024033226793059442,0.012749541898293693,-0.2080554846815693,1.061254060051338,49,0.40816326530612246,-0.001576641608751633,-0.02312271307278091,-0.2305977215835383,0.939641808184881,31,0.2903225806451613,-0.024967392277865187,-0.24145914266671242,-0.3237627764221962,0.6691347527517792
10,10,1.0,2,597,88,0.4090909090909091,0.006578792457809135,0.05050674400943067,-0.1894497012811105,1.2601372535701574,41,0.4146341463414634,0.002233176158188204,0.01763366722475679,-0.12898124306449388,1.030412156382791,29,0.27586206896551724,-0.025234122684067814,-0.24169568521523588,-0.3076431444013147,0.6842042737876124
10,10,0.25,1,720,58,0.3620689655172414,-0.004272272683566482,-0.0793574951052658,-0.40961025294116427,0.6785613271251554,30,0.4666666666666667,0.0018140530805596338,-0.006856685848561583,-0.21593813969661568,0.9818568112332194,17,0.35294117647058826,-0.02181542235880313,-0.24245222628612273,-0.3173052710642972,0.6678615555871703
10,20,0.25,2,474,87,0.41379310344827586,0.006334759787688536,0.05024534589544394,-0.19320794458141188,1.2586664911597851,41,0.4878048780487805,0.0039087299152256744,0.029554302042150482,-0.10678132264160134,1.0694487046951238,28,0.17857142857142858,-0.028333250625691583,-0.24347360336162338,-0.32431857203133463,0.6665528742527383
10,10,0.5,1,685,56,0.35714285714285715,-0.0013469700869041892,-0.04682280077361867,-0.31442473974896756,0.7984884878412665,31,0.41935483870967744,-0.0021181561687381454,-0.045600536131733094,-0.24599803497255845,0.8831981607599703,17,0.35294117647058826,-0.02213242411483877,-0.24549352425401527,-0.32128619346592613,0.6639671282316689
20,40,0.5,1,181,24,0.5,0.012068900012331551,0.051178429322177976,-0.14815633008227946,1.2639227090396028,10,0.2,0.005068954699205541,0.0073907712260117275,-0.1453537830697912,1.0171199686756542,7,0.14285714285714285,-0.04046328796498826,-0.24744437665522345,-0.2169784914195394,0.7468663989458355
10,10,1.0,1,597,52,0.36538461538461536,0.00041638224449414436,-0.025332041112103187,-0.2860078316718493,0.8865598325928166,24,0.4166666666666667,0.0038677200684926333,0.031252375155302214,-0.15976187683500842,1.0541590360223723,16,0.3125,-0.023122888181382632,-0.2523120329516214,-0.3122291819698234,0.6710994800288055
10,40,0.25,1,211,30,0.4666666666666667,0.008824415835854327,0.04712074933846644,-0.16275733887190902,1.2410337670725244,14,0.5714285714285714,-0.0010339098362780067,-0.01252167237177404,-0.09941597933099133,0.9716378792616512,8,0.125,-0.0380211120625472,-0.26277665998199395,-0.24648015004268053,0.7312481157332827
10,40,0.5,1,181,29,0.4827586206896552,0.010737903707027633,0.05786891809031913,-0.14186993031790485,1.3021193575586891,11,0.6363636363636364,-0.002553291381068079,-0.014646544771228176,-0.10904170827775339,0.9668704354196475,8,0.125,-0.03941981793708478,-0.27114215584503165,-0.2552574780759673,0.7227302185791766
10,20,0.5,1,451,46,0.3695652173913043,0.009548690289163931,0.0727875172390895,-0.24797976475999195,1.3905639596309687,24,0.5416666666666666,-0.0026827277290556403,-0.039509522748510495,-0.14693094285693453,0.9112588894866078,16,0.25,-0.02816363595700564,-0.2781013093432181,-0.3600203678331252,0.6226628463506594
10,20,0.25,1,474,46,0.391304347826087,0.009829896006432463,0.07574359418824139,-0.23114052283448605,1.4083551025482128,26,0.5,0.0008559562950155927,-0.0051122700173613644,-0.14477675781847255,0.9882541355495577,16,0.1875,-0.029259282692954136,-0.28673909373652584,-0.3711226761043137,0.611860948099938
10,20,1.0,1,387,43,0.3953488372093023,0.008856852494281463,0.06527020735968181,-0.25161991698286157,1.3366047285119982,18,0.6666666666666666,0.014470244140723263,0.1605368690290243,-0.06724463335370168,1.2739540449598523,15,0.2,-0.03195186845643047,-0.3070018523870105,-0.3768853286053939,0.604697314037418
